rental_id,rental_date,return_date,customer_lastname,store_id,rental_store_city,film_title,film_rental_duration,film_rental_rate,film_replacement_cost,film_rating
1,2005-05-24 22:53:30.000,2005-05-26 22:04:30.000,HUNTER,1,Lethbridge,BLANKET BEVERLY,7,2.99,21.99,G
2,2005-05-24 22:54:33.000,2005-05-28 19:40:33.000,COLLAZO,2,Woodridge,FREAKY POCUS,7,2.99,16.99,R
3,2005-05-24 23:03:39.000,2005-06-01 22:12:39.000,MURRELL,2,Woodridge,GRADUATE LORD,7,2.99,14.99,G
4,2005-05-24 23:04:41.000,2005-06-03 01:43:41.000,PURDY,1,Lethbridge,LOVE SUICIDES,6,0.99,21.99,R
5,2005-05-24 23:05:21.000,2005-06-02 04:33:21.000,HANSEN,2,Woodridge,IDOLS SNATCHERS,5,2.99,29.99,NC-17
6,2005-05-24 23:08:07.000,2005-05-27 01:32:07.000,CHRISTENSON,1,Lethbridge,MYSTIC TRUMAN,5,0.99,19.99,NC-17
7,2005-05-24 23:11:53.000,2005-05-29 20:34:53.000,WALTERS,2,Woodridge,SWARM GOLD,4,0.99,12.99,PG-13
8,2005-05-24 23:31:46.000,2005-05-27 23:33:46.000,ROMERO,1,Lethbridge,LAWLESS VISION,6,4.99,29.99,G
9,2005-05-25 00:00:40.000,2005-05-28 00:22:40.000,SIMPSON,1,Lethbridge,MATRIX SNOWMAN,6,4.99,9.99,PG-13
10,2005-05-25 00:02:21.000,2005-05-31 22:44:21.000,ISOM,2,Woodridge,HANGING DEEP,5,4.99,18.99,G
11,2005-05-25 00:09:02.000,2005-06-02 20:56:02.000,BURNS,1,Lethbridge,WHALE BIKINI,4,4.99,11.99,PG-13
12,2005-05-25 00:19:27.000,2005-05-30 05:44:27.000,BYRD,1,Lethbridge,GAMES BOWFINGER,7,4.99,17.99,PG-13
13,2005-05-25 00:22:55.000,2005-05-30 04:28:55.000,MCWHORTER,1,Lethbridge,KING EVOLUTION,3,4.99,24.99,NC-17
14,2005-05-25 00:31:15.000,2005-05-26 02:56:15.000,CULP,2,Woodridge,MONTEREY LABYRINTH,6,0.99,13.99,G
15,2005-05-25 00:39:22.000,2005-06-03 03:30:22.000,WEINER,1,Lethbridge,PELICAN COMFORTS,4,4.99,17.99,PG
16,2005-05-25 00:43:11.000,2005-05-26 04:42:11.000,CURLEY,1,Lethbridge,BOOGIE AMELIE,6,4.99,11.99,R
17,2005-05-25 01:06:36.000,2005-05-27 00:43:36.000,OGLESBY,2,Woodridge,CONTACT ANONYMOUS,7,2.99,10.99,PG-13
18,2005-05-25 01:10:47.000,2005-05-31 06:35:47.000,MARTINEZ,1,Lethbridge,ROMAN PUNK,7,0.99,28.99,NC-17
19,2005-05-25 01:17:24.000,2005-05-31 06:00:24.000,RICKETTS,2,Woodridge,HOLLOW JEOPARDY,7,4.99,25.99,NC-17
20,2005-05-25 01:48:41.000,2005-05-27 02:20:41.000,HARPER,2,Woodridge,SCISSORHANDS SLUMS,5,2.99,13.99,G
21,2005-05-25 01:59:46.000,2005-05-26 01:01:46.000,MORRELL,1,Lethbridge,APACHE DIVINE,5,4.99,16.99,NC-17
22,2005-05-25 02:19:23.000,2005-05-26 04:52:23.000,FORTIER,1,Lethbridge,CLOSER BANG,5,4.99,12.99,R
23,2005-05-25 02:40:21.000,2005-05-29 06:34:21.000,LOVELACE,1,Lethbridge,WHALE BIKINI,4,4.99,11.99,PG-13
24,2005-05-25 02:53:02.000,2005-05-27 01:15:02.000,FRALEY,1,Lethbridge,REDS POCUS,7,4.99,23.99,PG-13
25,2005-05-25 03:21:20.000,2005-05-27 21:25:20.000,BAKER,2,Woodridge,SUN CONFESSIONS,5,0.99,9.99,R
26,2005-05-25 03:36:50.000,2005-05-31 00:34:50.000,POULIN,1,Lethbridge,WAIT CIDER,3,0.99,9.99,PG-13
